"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2015/05/01","00:00","4.491","3.727","3.422","1.834","1.826","0.23","0.089","-0.722","0"
"2015/06/01","00:00","4.446","3.855","3.497","1.89","1.88","0.262","0.108","-0.561","0"
"2015/07/01","00:00","4.623","4.068","3.753","2.142","2.137","0.522","0.335","-0.358","0"
"2015/08/01","00:00","4.613","4.072","3.855","2.182","2.183","0.512","0.371","-0.207","0"
"2015/09/01","00:00","5.741","4.196","4.042","2.402","2.397","0.751","0.63","-0.348","0"
"2015/10/01","00:00","5.853","4.57","4.344","2.74","2.738","1.132","0.997","0.141","0"
"2015/11/01","00:00","4.754","4.15","3.901","2.287","2.28","0.659","0.525","-0.269","0"
"2015/12/01","00:00","4.383","3.967","3.675","2.096","2.077","0.476","0.351","-0.489","0"
"2016/01/01","00:00","5.338","3.95","3.698","2.087","2.085","0.472","0.233","-0.853","0"
"2016/02/01","00:00","5.528","3.799","3.55","1.919","1.926","0.302","0.161","-0.358","0"
"2016/03/01","00:00","4.186","3.602","3.399","1.801","1.786","0.174","0.039","-0.791","0"
"2016/04/01","00:00","4.567","3.917","3.661","2.044","2.036","0.41","0.308","-0.856","0"
"2016/05/01","00:00","5.289","4.052","3.796","2.169","2.162","0.528","0.404","0.036","0"
"2016/06/01","00:00","5.108","4.334","4.035","2.408","2.405","0.774","0.604","-0.03","0"
"2016/07/01","00:00","4.829","4.009","3.707","2.06","2.052","0.397","0.23","-0.161","0"
"2016/08/01","00:00","4.616","3.957","3.737","2.119","2.115","0.492","0.341","-0.052","0"
"2016/09/01","00:00","5.059","4.275","4.045","2.438","2.444","0.843","0.712","0.01","0"
"2016/10/01","00:00","5.466","4.603","4.373","2.772","2.782","1.191","1.063","0.413","0"
"2016/11/01","00:00","5.105","4.199","3.911","2.326","2.318","0.725","0.607","-0.161","0"
"2016/12/01","00:00","4.974","3.937","3.615","1.988","1.998","0.381","0.213","-0.479","0"
"2017/01/01","00:00","4.744","3.737","3.419","1.749","1.752","0.085","-0.102","-1.371","0"
"2017/02/01","00:00","4.022","3.547","3.323","1.683","1.665","0.007","-0.138","-1.171","0"
"2017/03/01","00:00","4.629","3.412","3.202","1.539","1.512","-0.177","-0.266","-1.171","0"
"2017/04/01","00:00","5.427","4.072","3.78","2.106","2.118","0.456","0.344","-0.636","0"
"2017/05/01","00:00","5.131","4.049","3.747","2.083","2.077","0.407","0.289","-0.312","0"
"2017/06/01","00:00","4.626","3.976","3.668","2.024","2.014","0.361","0.23","-0.728","0"
"2017/07/01","00:00","4.8","3.957","3.642","2.021","2.016","0.39","0.236","-0.65","0"
"2017/08/01","00:00","4.593","4.124","3.878","2.293","2.302","0.725","0.568","-0.269","0"
"2017/09/01","00:00","5.226","4.501","4.291","2.72","2.726","1.165","1.007","0.226","0"
"2017/10/01","00:00","4.823","4.17","3.953","2.379","2.375","0.797","0.692","0.102","0"
"2017/11/01","00:00","5","4.094","3.848","2.231","2.231","0.614","0.502","-0.184","0"
"2017/12/01","00:00","4.931","3.77","3.468","1.801","1.808","0.151","-0.013","-0.883","0"
"2018/01/01","00:00","4.606","3.455","3.114","1.421","1.409","-0.295","-0.459","-1.191","0"
"2018/02/01","00:00","4.501","3.465","3.225","1.585","1.585","-0.056","-0.23","-1.286","0"
"2018/03/01","00:00","5.102","4.127","3.947","2.293","2.279","0.61","0.463","-1.01","0"
"2018/04/01","00:00","4.419","3.671","3.415","1.814","1.801","0.187","0.075","-0.81","0"
"2018/05/01","00:00","4.488","3.799","3.471","1.837","1.852","0.233","0.138","-0.489","0"
"2018/06/01","00:00","4.852","4.055","3.714","2.1","2.106","0.502","0.384","-0.262","0"
"2018/07/01","00:00","4.846","4.042","3.717","2.149","2.142","0.568","0.41","-0.344","0"
"2018/08/01","00:00","4.76","3.996","3.74","2.136","2.133","0.522","0.377","-0.335","0"
"2018/09/01","00:00","7.162","4.573","4.291","2.717","2.725","1.158","0.951","-0.089","0"
"2018/10/01","00:00","5.118","4.249","3.993","2.421","2.411","0.83","0.676","0.098","0"
"2018/11/01","00:00","5.502","4.318","4.003","2.421","2.428","0.853","0.699","0.066","0"
"2018/12/01","00:00","5.105","4.108","3.802","2.201","2.195","0.587","0.394","-0.705","0"
"2019/01/01","00:00","5.105","3.93","3.583","1.942","1.955","0.328","0.144","-0.837","0"
"2019/02/01","00:00","5.079","3.924","3.635","1.998","2.003","0.371","0.236","-0.502","0"
"2019/03/01","00:00","4.934","3.97","3.734","2.142","2.154","0.574","0.456","-0.728","0"
"2019/04/01","00:00","4.803","3.94","3.678","2.06","2.072","0.466","0.351","-0.417","0"
"2019/05/01","00:00","4.862","4.147","3.799","2.198","2.201","0.604","0.495","-0.22","0"
"2019/06/01","00:00","4.865","4.245","3.881","2.287","2.28","0.679","0.531","0.03","0"
"2019/07/01","00:00","5.141","4.281","3.917","2.316","2.313","0.709","0.528","0.079","0"
"2019/08/01","00:00","5.213","4.321","4.016","2.372","2.375","0.732","0.558","0.072","0"
"2019/09/01","00:00","4.997","4.409","4.193","2.562","2.556","0.919","0.774","0.049","0"
"2019/10/01","00:00","5.453","4.623","4.327","2.736","2.717","1.109","0.955","-0.187","0"
"2019/11/01","00:00","5.722","4.423","4.127","2.562","2.543","0.958","0.801","-0.761","0"
"2019/12/01","00:00","4.698","3.927","3.589","2.024","2.001","0.417","0.276","-0.577","0"
"2020/01/01","00:00","4.698","3.75","3.415","1.827","1.834","0.253","0.082","-1.063","0"
"2020/02/01","00:00","4.826","3.77","3.484","1.89","1.854","0.223","0.079","-1.214","0"
"2020/03/01","00:00","4.393","3.734","3.484","1.89","1.9","0.312","0.184","-0.981","0"
"2020/04/01","00:00","5.197","4.17","3.888","2.27","2.272","0.656","0.535","0.013","0"
"2020/05/01","00:00","5.066","4.098","3.77","2.152","2.139","0.512","0.381","-0.387","0"
"2020/06/01","00:00","4.803","4.229","3.898","2.303","2.297","0.692","0.554","-0.276","0"
"2020/07/01","00:00","5.039","4.249","3.878","2.283","2.283","0.689","0.528","-0.033","0"
"2020/08/01","00:00","4.941","4.242","3.914","2.329","2.318","0.722","0.558","-0.325","0"
"2020/09/01","00:00","5.453","4.478","4.232","2.674","2.662","1.093","0.968","0.22","0"
"2020/10/01","00:00","5.161","4.406","4.131","2.585","2.582","1.03","0.912","0.013","0"
"2020/11/01","00:00","5.312","4.101","3.75","2.208","2.193","0.636","0.499","-0.587","0"
"2020/12/01","00:00","5.472","3.911","3.537","1.965","1.949","0.361","0.174","-0.591","0"
"2021/01/01","00:00","4.925","4.14","3.763","2.165","2.154","0.545","0.367","-0.512","0"
"2021/02/01","00:00","4.678","4.065","3.78","2.169","2.172","0.568","0.413","-0.535","0"
"2021/03/01","00:00","4.501","3.947","3.652","1.995","1.985","0.318","0.197","-1.014","0"
"2021/04/01","00:00","4.964","4.035","3.73","2.123","2.096","0.466","0.377","-0.384","0"
"2021/05/01","00:00","4.823","3.94","3.553","1.939","1.918","0.282","0.151","-0.597","0"
"2021/06/01","00:00","4.734","4.016","3.642","2.044","2.024","0.41","0.253","-0.673","0"
"2021/07/01","00:00","4.836","4.085","3.737","2.156","2.149","0.561","0.417","-0.249","0"
"2021/08/01","00:00","4.593","4.088","3.789","2.26","2.256","0.722","0.571","-0.069","0"
"2021/09/01","00:00","4.806","4.265","3.967","2.434","2.425","0.886","0.755","0.2","0"
"2021/10/01","00:00","5.266","4.383","4.085","2.559","2.536","0.991","0.876","0.128","0"
"2021/11/01","00:00","6.03","4.298","4.006","2.467","2.451","0.899","0.797","0.131","0"
"2021/12/01","00:00","5.007","4.052","3.714","2.087","2.087","0.456","0.302","-0.44","0"
"2022/01/01","00:00","6.283","4.301","3.891","2.247","2.252","0.614","0.436","-0.335","0"
"2022/02/01","00:00","4.544","3.681","3.379","1.818","1.795","0.21","0.069","-0.338","0"
"2022/03/01","00:00","4.485","3.629","3.386","1.791","1.788","0.19","0.039","-0.436","0"
"2022/04/01","00:00","4.787","3.973","3.668","2.077","2.083","0.499","0.39","-0.085","0"
"2022/05/01","00:00","5.404","4.373","3.993","2.434","2.434","0.879","0.791","0.026","0"
"2022/06/01","00:00","5.184","4.275","3.875","2.352","2.339","0.804","0.679","-0.098","0"
"2022/07/01","00:00","4.941","4.104","3.711","2.175","2.157","0.604","0.427","-0.397","0"
"2022/08/01","00:00","5.059","4.078","3.763","2.172","2.182","0.6","0.453","-0.797","0"
"2022/09/01","00:00","6.266","4.514","4.199","2.641","2.654","1.109","0.951","0.249","0"
"2022/10/01","00:00","5.364","4.508","4.193","2.644","2.636","1.079","0.991","0.203","0"
