"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2016/05/01","00:00","6.598","5.043","4.738","2.628","2.621","0.502","0.371","-0.325","0"
"2016/06/01","00:00","6.247","5.328","4.961","2.848","2.838","0.715","0.548","-0.361","0"
"2016/07/01","00:00","5.961","4.941","4.587","2.441","2.433","0.279","0.102","-0.502","0"
"2016/08/01","00:00","5.748","4.961","4.692","2.572","2.582","0.472","0.325","-0.249","0"
"2016/09/01","00:00","6.03","5.141","4.925","2.881","2.881","0.837","0.705","-0.413","0"
"2016/10/01","00:00","6.86","5.623","5.295","3.225","3.227","1.158","0.981","-0.039","0"
"2016/11/01","00:00","6.49","5.187","4.843","2.799","2.781","0.719","0.568","-0.709","0"
"2016/12/01","00:00","6.306","4.918","4.531","2.444","2.451","0.371","0.171","-0.787","0"
"2017/01/01","00:00","5.446","4.649","4.265","2.136","2.134","0.003","-0.207","-1.411","0"
"2017/02/01","00:00","5.013","4.446","4.18","2.083","2.072","-0.036","-0.223","-1.722","0"
"2017/03/01","00:00","5.991","4.364","4.14","1.995","1.977","-0.187","-0.315","-1.394","0"
"2017/04/01","00:00","6.634","5.01","4.675","2.507","2.539","0.404","0.262","-0.981","0"
"2017/05/01","00:00","5.991","4.925","4.577","2.431","2.428","0.279","0.138","-1.165","0"
"2017/06/01","00:00","5.843","4.895","4.554","2.457","2.457","0.361","0.2","-1.437","0"
"2017/07/01","00:00","5.65","4.823","4.482","2.421","2.398","0.315","0.151","-1.033","0"
"2017/08/01","00:00","5.755","5.144","4.843","2.808","2.823","0.804","0.643","-0.367","0"
"2017/09/01","00:00","6.512","5.528","5.259","3.232","3.235","1.211","1.07","0.059","0"
"2017/10/01","00:00","5.997","5.171","4.895","2.887","2.869","0.843","0.725","-0.233","0"
"2017/11/01","00:00","6.342","5.138","4.843","2.776","2.777","0.712","0.581","-0.318","0"
"2017/12/01","00:00","6.394","4.826","4.478","2.329","2.341","0.203","0.026","-1.115","0"
"2018/01/01","00:00","6.224","4.482","4.058","1.916","1.909","-0.24","-0.397","-1.184","0"
"2018/02/01","00:00","5.758","4.491","4.19","2.093","2.111","0.033","-0.131","-1.529","0"
"2018/03/01","00:00","6.217","5.072","4.833","2.717","2.695","0.558","0.361","-1.43","0"
"2018/04/01","00:00","5.19","4.534","4.259","2.238","2.21","0.161","0.043","-1.27","0"
"2018/05/01","00:00","5.656","4.757","4.373","2.277","2.298","0.223","0.121","-0.712","0"
"2018/06/01","00:00","6.086","4.948","4.564","2.487","2.505","0.446","0.335","-0.715","0"
"2018/07/01","00:00","6.194","5.062","4.669","2.641","2.648","0.627","0.449","-0.748","0"
"2018/08/01","00:00","6.132","4.902","4.58","2.516","2.513","0.446","0.318","-0.86","0"
"2018/09/01","00:00","8.533","5.528","5.21","3.136","3.146","1.083","0.915","-0.184","0"
"2018/10/01","00:00","6.096","5.203","4.859","2.841","2.822","0.784","0.643","-0.427","0"
"2019/03/01","00:00","6.332","4.964","4.662","2.664","2.664","0.666","0.509","-1.335","0"
"2019/04/01","00:00","5.758","4.823","4.544","2.5","2.518","0.492","0.354","-0.82","0"
"2019/05/01","00:00","6.07","5.085","4.708","2.677","2.679","0.65","0.518","-0.394","0"
"2019/06/01","00:00","6.03","5.213","4.81","2.766","2.761","0.712","0.561","-0.03","0"
"2019/07/01","00:00","6.437","5.289","4.862","2.789","2.795","0.728","0.551","-0.082","0"
"2019/08/01","00:00","6.532","5.361","4.974","2.887","2.877","0.781","0.62","-0.013","0"
"2019/09/01","00:00","6.345","5.407","5.148","3.077","3.059","0.971","0.794","-1.312","0"
"2019/10/01","00:00","6.434","5.594","5.259","3.241","3.212","1.165","1.024","-0.591","0"
"2019/11/01","00:00","6.867","5.525","5.121","3.146","3.107","1.093","0.892","-0.974","0"
"2019/12/01","00:00","6.145","4.915","4.514","2.552","2.523","0.531","0.371","-0.866","0"
"2020/01/01","00:00","6.371","4.738","4.334","2.326","2.344","0.354","0.151","-1.247","0"
"2020/02/01","00:00","5.81","4.695","4.373","2.362","2.346","0.318","0.164","-1.857","0"
"2020/03/01","00:00","5.564","4.698","4.423","2.395","2.423","0.423","0.266","-1.306","0"
"2020/04/01","00:00","6.302","5.075","4.76","2.7","2.689","0.617","0.466","-0.781","0"
"2020/05/01","00:00","6.375","5.131","4.744","2.677","2.667","0.591","0.44","-1.191","0"
"2020/06/01","00:00","5.984","5.207","4.826","2.779","2.769","0.712","0.571","-0.623","0"
"2020/07/01","00:00","6.201","5.249","4.816","2.772","2.764","0.712","0.554","-0.167","0"
"2020/08/01","00:00","6.982","5.226","4.849","2.792","2.785","0.722","0.581","-0.4","0"
"2020/09/01","00:00","6.995","5.548","5.272","3.284","3.261","1.25","1.122","0.098","0"
"2020/10/01","00:00","6.788","5.469","5.125","3.176","3.159","1.194","1.073","-0.171","0"
"2020/11/01","00:00","6.696","5.121","4.728","2.785","2.759","0.791","0.623","-0.502","0"
"2020/12/01","00:00","7.28","4.872","4.403","2.438","2.423","0.443","0.253","-0.945","0"
"2021/01/01","00:00","6.148","5.069","4.606","2.579","2.585","0.564","0.361","-0.614","0"
"2021/02/01","00:00","5.902","5.02","4.665","2.641","2.653","0.64","0.463","-0.682","0"
"2021/03/01","00:00","5.961","4.918","4.616","2.526","2.53","0.443","0.302","-1.552","0"
"2021/04/01","00:00","6.257","4.928","4.583","2.562","2.536","0.489","0.39","-0.594","0"
"2021/05/01","00:00","5.856","4.915","4.469","2.451","2.443","0.417","0.279","-0.646","0"
"2021/06/01","00:00","6.345","4.961","4.537","2.533","2.521","0.505","0.335","-1.27","0"
"2021/07/01","00:00","6.217","5.003","4.613","2.625","2.62","0.627","0.479","-0.161","0"
"2021/08/01","00:00","5.787","5.043","4.695","2.753","2.743","0.791","0.65","0.023","0"
"2021/09/01","00:00","6.014","5.259","4.918","2.995","2.979","1.04","0.909","0.289","0"
"2021/10/01","00:00","6.421","5.328","4.967","3.068","3.041","1.115","0.994","0.174","0"
"2021/11/01","00:00","7.726","5.351","4.961","3.022","3.004","1.047","0.922","0.217","0"
"2021/12/01","00:00","6.365","4.977","4.593","2.559","2.552","0.512","0.351","-0.636","0"
"2022/01/01","00:00","7.385","5.23","4.787","2.717","2.72","0.653","0.41","-1.434","0"
"2022/02/01","00:00","5.965","4.606","4.229","2.287","2.254","0.282","0.075","-0.561","0"
"2022/03/01","00:00","5.853","4.557","4.206","2.228","2.213","0.22","0.069","-0.682","0"
"2022/04/01","00:00","6.234","4.859","4.518","2.513","2.526","0.535","0.41","-0.098","0"
"2022/05/01","00:00","6.608","5.308","4.888","2.907","2.91","0.935","0.843","-0.085","0"
"2022/06/01","00:00","6.683","5.285","4.829","2.9","2.897","0.965","0.84","-0.322","0"
"2022/07/01","00:00","6.165","4.918","4.491","2.575","2.544","0.597","0.43","-0.433","0"
"2022/08/01","00:00","6.486","5.01","4.646","2.671","2.687","0.728","0.597","-0.482","0"
"2022/09/01","00:00","7.93","5.571","5.187","3.232","3.237","1.286","1.135","0.157","0"
"2022/10/01","00:00","6.463","5.535","5.138","3.199","3.192","1.247","1.132","0.269","0"
